flight,date,aircraft,ori,des,start_time,end_time,duration
1,7/1/06,TranspCom#1,CDG,ORY,0:00,0:30,0:30
73,7/1/06,TranspCom#3,ORY,CDG,0:00,0:30,0:30
2,7/1/06,TranspCom#2,CDG,ORY,0:20,0:50,0:30
74,7/1/06,TranspCom#4,ORY,CDG,0:20,0:50,0:30
75,7/1/06,TranspCom#1,ORY,CDG,0:40,1:10,0:30
3,7/1/06,TranspCom#3,CDG,ORY,0:40,1:10,0:30
76,7/1/06,TranspCom#2,ORY,CDG,1:00,1:30,0:30
4,7/1/06,TranspCom#4,CDG,ORY,1:00,1:30,0:30
5,7/1/06,TranspCom#1,CDG,ORY,1:20,1:50,0:30
77,7/1/06,TranspCom#3,ORY,CDG,1:20,1:50,0:30
6,7/1/06,TranspCom#2,CDG,ORY,1:40,2:10,0:30
78,7/1/06,TranspCom#4,ORY,CDG,1:40,2:10,0:30
79,7/1/06,TranspCom#1,ORY,CDG,2:00,2:30,0:30
7,7/1/06,TranspCom#3,CDG,ORY,2:00,2:30,0:30
80,7/1/06,TranspCom#2,ORY,CDG,2:20,2:50,0:30
8,7/1/06,TranspCom#4,CDG,ORY,2:20,2:50,0:30
9,7/1/06,TranspCom#1,CDG,ORY,2:40,3:10,0:30
81,7/1/06,TranspCom#3,ORY,CDG,2:40,3:10,0:30
10,7/1/06,TranspCom#2,CDG,ORY,3:00,3:30,0:30
82,7/1/06,TranspCom#4,ORY,CDG,3:00,3:30,0:30
83,7/1/06,TranspCom#1,ORY,CDG,3:20,3:50,0:30
11,7/1/06,TranspCom#3,CDG,ORY,3:20,3:50,0:30
84,7/1/06,TranspCom#2,ORY,CDG,3:40,4:10,0:30
12,7/1/06,TranspCom#4,CDG,ORY,3:40,4:10,0:30
13,7/1/06,TranspCom#1,CDG,ORY,4:00,4:30,0:30
85,7/1/06,TranspCom#3,ORY,CDG,4:00,4:30,0:30
14,7/1/06,TranspCom#2,CDG,ORY,4:20,4:50,0:30
86,7/1/06,TranspCom#4,ORY,CDG,4:20,4:50,0:30
87,7/1/06,TranspCom#1,ORY,CDG,4:40,5:10,0:30
15,7/1/06,TranspCom#3,CDG,ORY,4:40,5:10,0:30
2597,7/1/06,ERJ135#2,LEH,URO,5:00,5:20,0:20
88,7/1/06,TranspCom#2,ORY,CDG,5:00,5:30,0:30
16,7/1/06,TranspCom#4,CDG,ORY,5:00,5:30,0:30
5123,7/1/06,CRJ700#1,TLS,AMS,5:05,7:20,2:15
17,7/1/06,TranspCom#1,CDG,ORY,5:20,5:50,0:30
89,7/1/06,TranspCom#3,ORY,CDG,5:20,5:50,0:30
4600,7/1/06,A319#1,BES,CDG,5:25,6:45,1:20
2583,7/1/06,CRJ700#2,RNS,CDG,5:25,6:25,1:00
2587,7/1/06,ERJ145#4,CFR,LYS,5:25,6:35,1:10
2653,7/1/06,F100#4,BES,LYS,5:25,6:55,1:30
4636,7/1/06,F100#5,PUF,CDG,5:25,6:55,1:30
4194,7/1/06,A320#15,MLH,ORY,5:30,6:40,1:10
2866,7/1/06,A320#23,MRS,ORY,5:30,6:50,1:20
2573,7/1/06,BAE300#1,LIG,ORY,5:30,6:35,1:05
4334,7/1/06,ERJ145#1,AVN,ORY,5:30,6:45,1:15
2613,7/1/06,F100#6,RNS,LYS,5:30,6:45,1:15
4684,7/1/06,A319#16,MRS,LYS,5:35,6:35,1:00
4224,7/1/06,A320#1,BES,ORY,5:35,6:50,1:15
2593,7/1/06,A320#14,LIG,LYS,5:35,6:35,1:00
4584,7/1/06,A320#6,NTE,CDG,5:35,6:40,1:05
4522,7/1/06,ERJ145#3,CFE,CDG,5:35,6:40,1:05
4296,7/1/06,A318#1,CFE,ORY,5:40,6:35,0:55
4314,7/1/06,A319#2,PUF,ORY,5:40,7:00,1:20
4404,7/1/06,A319#3,MPL,ORY,5:40,7:05,1:25
4576,7/1/06,A320#22,NCE,CDG,5:40,7:15,1:35
2966,7/1/06,A320#7,TLS,ORY,5:40,7:00,1:20
2543,7/1/06,BAE200#1,RDZ,ORY,5:40,6:50,1:10
2598,7/1/06,ERJ135#2,URO,LYS,5:40,7:00,1:20
4694,7/1/06,ERJ145#5,NCE,LYS,5:40,6:35,0:55
18,7/1/06,TranspCom#2,CDG,ORY,5:40,6:10,0:30
90,7/1/06,TranspCom#4,ORY,CDG,5:40,6:10,0:30
4364,7/1/06,A319#6,TLN,ORY,5:45,7:10,1:25
4723,7/1/06,A320#20,NTE,LYS,5:45,7:00,1:15
2524,7/1/06,BAE300#2,UIP,ORY,5:45,6:55,1:10
4673,7/1/06,CRJ100#2,LIL,LYS,5:45,7:00,1:15
4764,7/1/06,CRJ700#3,NCE,BOD,5:45,7:10,1:25
4344,7/1/06,A320#12,BIQ,ORY,5:50,7:10,1:20
2965,7/1/06,A320#8,ORY,TLS,5:50,7:00,1:10
4704,7/1/06,A321#1,TLS,LYS,5:50,6:50,1:00
4264,7/1/06,A321#2,LYS,ORY,5:50,6:55,1:05
5163,7/1/06,CRJ100#4,BOD,AMS,5:50,7:40,1:50
2648,7/1/06,F100#2,SXB,LYS,5:50,6:50,1:00
4544,7/1/06,A319#15,MPL,CDG,5:55,7:25,1:30
1364,7/1/06,A320#2,AJA,ORY,5:55,7:35,1:40
1374,7/1/06,A320#3,BIA,ORY,5:55,7:30,1:35
2673,7/1/06,BAE300#3,SXB,LGW,5:55,7:20,1:25
3103,7/1/06,A318#8,ORY,NCE,6:00,7:20,1:20
2793,7/1/06,BAE200#3,LRT,ORY,6:00,7:10,1:10
2534,7/1/06,F100#1,BES,NTE,6:00,6:45,0:45
91,7/1/06,TranspCom#1,ORY,CDG,6:00,6:30,0:30
19,7/1/06,TranspCom#3,CDG,ORY,6:00,6:30,0:30
3064,7/1/06,A318#4,NCE,ORY,6:05,7:30,1:25
4656,7/1/06,A319#10,TLS,CDG,6:05,7:35,1:30
152,7/1/06,A320#4,MLH,CDG,6:05,7:20,1:15
3118,7/1/06,A318#6,BOD,ORY,6:10,7:20,1:10
2968,7/1/06,A320#10,TLS,ORY,6:10,7:30,1:20
4498,7/1/06,A318#7,BIQ,CDG,6:15,7:45,1:30
4523,7/1/06,A319#17,CDG,MRS,6:15,7:40,1:25
4643,7/1/06,A319#4,CDG,TLS,6:15,7:40,1:25
4563,7/1/06,A321#4,CDG,NCE,6:20,7:55,1:35
92,7/1/06,TranspCom#2,ORY,CDG,6:20,6:50,0:30
20,7/1/06,TranspCom#4,CDG,ORY,6:20,6:50,0:30
4514,7/1/06,A319#18,LYS,CDG,6:25,7:35,1:10
4375,7/1/06,A319#5,ORY,TLN,6:25,7:50,1:25
4574,7/1/06,A320#24,NCE,CDG,6:25,8:00,1:35
3107,7/1/06,A319#11,ORY,NCE,6:30,7:50,1:20
2872,7/1/06,A320#5,MRS,ORY,6:30,7:50,1:20
4483,7/1/06,A321#3,CDG,BOD,6:30,7:50,1:20
4360,7/1/06,ERJ145#2,LDE,ORY,6:30,7:55,1:25
4623,7/1/06,A320#19,ORY,SXB,6:35,7:35,1:00
4536,7/1/06,A320#21,MRS,CDG,6:35,8:05,1:30
2970,7/1/06,A320#11,TLS,ORY,6:40,8:00,1:20
2605,7/1/06,CRJ100#3,RNS,TLS,6:40,7:45,1:05
21,7/1/06,TranspCom#1,CDG,ORY,6:40,7:10,0:30
93,7/1/06,TranspCom#3,ORY,CDG,6:40,7:10,0:30
2969,7/1/06,A320#9,ORY,TLS,6:50,8:00,1:10
4618,7/1/06,A318#2,ETZ,ORY,7:00,8:10,1:10
3065,7/1/06,A318#5,ORY,NCE,7:00,8:20,1:20
4164,7/1/06,A319#8,SXB,ORY,7:00,8:00,1:00
2610,7/1/06,BAE200#2,RNS,NCE,7:00,8:35,1:35
22,7/1/06,TranspCom#2,CDG,ORY,7:00,7:30,0:30
94,7/1/06,TranspCom#4,ORY,CDG,7:00,7:30,0:30
2624,7/1/06,A318#3,NTE,MRS,7:05,8:25,1:20
3117,7/1/06,A319#14,ORY,BOD,7:15,8:20,1:05
4517,7/1/06,ERJ145#3,CDG,CFE,7:15,8:15,1:00
2634,7/1/06,F100#1,NTE,SXB,7:15,8:35,1:20
95,7/1/06,TranspCom#1,ORY,CDG,7:20,7:50,0:30
23,7/1/06,TranspCom#3,CDG,ORY,7:20,7:50,0:30
4385,7/1/06,A319#7,ORY,PGF,7:25,8:45,1:20
4486,7/1/06,A320#16,BOD,CDG,7:25,8:50,1:25
2544,7/1/06,BAE200#1,ORY,RDZ,7:25,8:30,1:05
2520,7/1/06,F100#3,NTE,TLS,7:25,8:25,1:00
3067,7/1/06,A319#13,ORY,NCE,7:30,8:50,1:20
4685,7/1/06,A319#16,LYS,MRS,7:30,8:30,1:00
2868,7/1/06,A320#17,MRS,ORY,7:30,8:50,1:20
4400,7/1/06,ERJ135#1,FSC,ORY,7:30,9:15,1:45
4639,7/1/06,F100#5,CDG,PUF,7:30,9:00,1:30
2873,7/1/06,A320#23,ORY,MRS,7:35,8:50,1:15
2974,7/1/06,A320#8,TLS,ORY,7:40,9:00,1:20
4265,7/1/06,A321#2,ORY,LYS,7:40,8:45,1:05
4676,7/1/06,CRJ100#2,LYS,LIL,7:40,8:55,1:15
2599,7/1/06,ERJ135#2,LYS,LEH,7:40,9:10,1:30
2588,7/1/06,ERJ145#4,LYS,CFR,7:40,8:55,1:15
2647,7/1/06,F100#2,LYS,SXB,7:40,8:40,1:00
2654,7/1/06,F100#4,LYS,BES,7:40,9:15,1:35
96,7/1/06,TranspCom#2,ORY,CDG,7:40,8:10,0:30
24,7/1/06,TranspCom#4,CDG,ORY,7:40,8:10,0:30
4405,7/1/06,A319#3,ORY,MPL,7:45,9:00,1:15
4703,7/1/06,A321#1,LYS,TLS,7:45,8:50,1:05
2523,7/1/06,BAE300#2,ORY,UIP,7:45,8:50,1:05
4765,7/1/06,CRJ700#3,BOD,NCE,7:45,9:00,1:15
2614,7/1/06,F100#6,LYS,RNS,7:45,9:05,1:20
2973,7/1/06,A320#7,ORY,TLS,7:50,9:00,1:10
4693,7/1/06,ERJ145#5,LYS,NCE,7:50,8:50,1:00
4363,7/1/06,A319#6,ORY,TLN,7:55,9:15,1:20
4343,7/1/06,A320#12,ORY,BIQ,7:55,9:10,1:15
4726,7/1/06,A320#20,LYS,NTE,7:55,9:10,1:15
2794,7/1/06,BAE200#3,ORY,LRT,7:55,9:00,1:05
2674,7/1/06,BAE300#3,LGW,SXB,7:55,9:25,1:30
3069,7/1/06,A318#4,ORY,NCE,8:00,9:20,1:20
4165,7/1/06,A319#12,ORY,SXB,8:00,9:00,1:00
4315,7/1/06,A319#2,ORY,PUF,8:00,9:15,1:15
3122,7/1/06,A320#18,BOD,ORY,8:00,9:10,1:10
2574,7/1/06,BAE300#1,ORY,LIG,8:00,9:00,1:00
25,7/1/06,TranspCom#1,CDG,ORY,8:00,8:30,0:30
97,7/1/06,TranspCom#3,ORY,CDG,8:00,8:30,0:30
3068,7/1/06,A318#8,NCE,ORY,8:05,9:30,1:25
145,7/1/06,A320#4,CDG,MLH,8:05,9:15,1:10
4583,7/1/06,A320#6,CDG,NTE,8:05,9:10,1:05
4406,7/1/06,A321#5,MPL,ORY,8:05,9:25,1:20
4295,7/1/06,A318#1,ORY,CFE,8:10,9:05,0:55
3119,7/1/06,A318#6,ORY,BOD,8:10,9:15,1:05
4475,7/1/06,A319#9,ORY,CLY,8:10,9:45,1:35
4225,7/1/06,A320#1,ORY,BES,8:10,9:20,1:10
4168,7/1/06,A320#13,SXB,ORY,8:10,9:10,1:00
4551,7/1/06,A320#22,CDG,MPL,8:10,9:35,1:25
2978,7/1/06,CRJ100#1,TLS,ORY,8:10,9:30,1:20
2606,7/1/06,CRJ100#3,TLS,RNS,8:10,9:20,1:10
4195,7/1/06,A320#15,ORY,MLH,8:15,9:15,1:00
4333,7/1/06,ERJ145#1,ORY,AVN,8:15,9:30,1:15
26,7/1/06,TranspCom#2,CDG,ORY,8:20,8:50,0:30
98,7/1/06,TranspCom#4,ORY,CDG,8:20,8:50,0:30
1363,7/1/06,A320#2,ORY,AJA,8:25,10:05,1:40
5124,7/1/06,CRJ700#1,AMS,TLS,8:25,10:20,1:55
4503,7/1/06,A319#18,CDG,LYS,8:30,9:40,1:10
1379,7/1/06,A320#3,ORY,BIA,8:30,10:05,1:35
4515,7/1/06,A318#7,CDG,LYS,8:35,9:45,1:10
3108,7/1/06,A319#11,NCE,ORY,8:35,10:00,1:25
4376,7/1/06,A319#5,TLN,ORY,8:35,10:05,1:30
2879,7/1/06,A320#5,ORY,MRS,8:35,9:50,1:15
4617,7/1/06,A318#2,ORY,ETZ,8:40,9:40,1:00
2976,7/1/06,A320#9,TLS,ORY,8:40,10:00,1:20
99,7/1/06,TranspCom#1,ORY,CDG,8:40,9:10,0:30
27,7/1/06,TranspCom#3,CDG,ORY,8:40,9:10,0:30
4359,7/1/06,ERJ145#2,ORY,LDE,8:45,10:05,1:20
2975,7/1/06,A320#10,ORY,TLS,8:50,10:00,1:10
5164,7/1/06,CRJ100#4,AMS,BOD,8:55,10:45,1:50
4518,7/1/06,ERJ145#3,CFE,CDG,8:55,10:00,1:05
2519,7/1/06,F100#3,TLS,NTE,8:55,9:55,1:00
2623,7/1/06,A318#3,MRS,NTE,9:00,10:25,1:25
100,7/1/06,TranspCom#2,ORY,CDG,9:00,9:30,0:30
28,7/1/06,TranspCom#4,CDG,ORY,9:00,9:30,0:30
3070,7/1/06,A318#5,NCE,ORY,9:05,10:30,1:25
4524,7/1/06,A319#17,MRS,CDG,9:05,10:35,1:30
4564,7/1/06,A321#4,NCE,CDG,9:05,10:40,1:35
2633,7/1/06,F100#1,SXB,NTE,9:05,10:25,1:20
3144,7/1/06,A319#14,BOD,ORY,9:10,10:20,1:10
2972,7/1/06,A319#4,TLS,ORY,9:10,10:30,1:20
2661,7/1/06,BAE200#2,NCE,BES,9:10,11:05,1:55
4837,7/1/06,F100#2,SXB,NCE,9:15,10:35,1:20
4488,7/1/06,A321#3,BOD,CDG,9:20,10:45,1:25
29,7/1/06,TranspCom#1,CDG,ORY,9:20,9:50,0:30
101,7/1/06,TranspCom#3,ORY,CDG,9:20,9:50,0:30
4599,7/1/06,A319#1,CDG,BES,9:30,10:45,1:15
4645,7/1/06,A319#10,CDG,TLS,9:30,10:55,1:25
4269,7/1/06,A320#11,ORY,LYS,9:30,10:35,1:05
4525,7/1/06,A320#21,CDG,MRS,9:30,10:55,1:25
4268,7/1/06,A321#2,LYS,ORY,9:30,10:35,1:05
2600,7/1/06,ERJ135#2,LEH,URO,9:30,9:50,0:20
4386,7/1/06,A319#7,PGF,ORY,9:35,11:00,1:25
2877,7/1/06,A320#17,ORY,MRS,9:35,10:50,1:15
4626,7/1/06,A320#19,SXB,CDG,9:35,10:45,1:10
4565,7/1/06,A320#24,CDG,NCE,9:35,11:10,1:35
4658,7/1/06,A321#1,TLS,CDG,9:35,11:05,1:30
2980,7/1/06,A320#7,TLS,ORY,9:40,11:00,1:20
4393,7/1/06,ERJ135#1,ORY,FSC,9:40,11:25,1:45
30,7/1/06,TranspCom#2,CDG,ORY,9:40,10:10,0:30
102,7/1/06,TranspCom#4,ORY,CDG,9:40,10:10,0:30
2795,7/1/06,BAE200#3,LRT,ORY,9:45,10:50,1:05
2526,7/1/06,BAE300#2,UIP,ORY,9:45,10:55,1:10
4638,7/1/06,F100#5,PUF,CDG,9:45,11:15,1:30
4298,7/1/06,A318#1,CFE,ORY,9:50,10:45,0:55
4526,7/1/06,A319#16,MRS,CDG,9:50,11:20,1:30
4408,7/1/06,A319#3,MPL,ORY,9:50,11:10,1:20
4502,7/1/06,A320#12,BIQ,CDG,9:50,11:20,1:30
2977,7/1/06,A320#8,ORY,TLS,9:50,11:00,1:10
4791,7/1/06,CRJ100#2,LIL,NCE,9:50,11:35,1:45
2521,7/1/06,CRJ100#3,RNS,MPL,9:50,11:05,1:15
4696,7/1/06,ERJ145#5,NCE,LYS,9:50,10:45,0:55
4485,7/1/06,A320#16,CDG,BOD,9:55,11:15,1:20
146,7/1/06,A320#4,MLH,CDG,9:55,11:10,1:15
3073,7/1/06,A318#8,ORY,NCE,10:00,11:20,1:20
4784,7/1/06,A319#13,NCE,LIL,10:00,11:40,1:40
4504,7/1/06,A320#14,LYS,CDG,10:00,11:10,1:10
4588,7/1/06,A320#6,NTE,CDG,10:00,11:05,1:05
103,7/1/06,TranspCom#1,ORY,CDG,10:00,10:30,0:30
31,7/1/06,TranspCom#3,CDG,ORY,10:00,10:30,0:30
3074,7/1/06,A318#4,NCE,ORY,10:05,11:30,1:25
3124,7/1/06,A318#6,BOD,ORY,10:05,11:15,1:10
4366,7/1/06,A319#6,TLN,ORY,10:05,11:30,1:25
4228,7/1/06,A320#1,BES,ORY,10:05,11:20,1:15
4200,7/1/06,A320#15,MLH,ORY,10:05,11:15,1:10
2581,7/1/06,BAE300#1,LIG,CDG,10:05,11:20,1:15
4336,7/1/06,ERJ145#1,AVN,ORY,10:05,11:20,1:15
2657,7/1/06,F100#4,BES,MRS,10:05,11:45,1:40
4170,7/1/06,A319#12,SXB,ORY,10:10,11:10,1:00
4320,7/1/06,A319#2,PUF,ORY,10:10,11:30,1:20
3121,7/1/06,A320#18,ORY,BOD,10:10,11:15,1:05
4725,7/1/06,A320#20,NTE,LYS,10:10,11:25,1:15
4409,7/1/06,A321#5,ORY,MPL,10:15,11:30,1:15
104,7/1/06,TranspCom#2,ORY,CDG,10:20,10:50,0:30
32,7/1/06,TranspCom#4,CDG,ORY,10:20,10:50,0:30
4167,7/1/06,A320#13,ORY,SXB,10:25,11:25,1:00
4543,7/1/06,CRJ700#2,CDG,MPL,10:25,11:50,1:25
4552,7/1/06,A320#22,MPL,CDG,10:30,12:00,1:30
2886,7/1/06,A320#5,MRS,ORY,10:30,11:50,1:20
4624,7/1/06,BAE300#3,SXB,CDG,10:30,11:40,1:10
3097,7/1/06,A319#11,ORY,NCE,10:35,11:55,1:20
2982,7/1/06,A320#10,TLS,ORY,10:40,12:00,1:20
33,7/1/06,TranspCom#1,CDG,ORY,10:40,11:10,0:30
105,7/1/06,TranspCom#3,ORY,CDG,10:40,11:10,0:30
4476,7/1/06,A319#9,CLY,ORY,10:45,12:15,1:30
4345,7/1/06,CRJ100#1,ORY,BIQ,10:45,12:00,1:15
4350,7/1/06,ERJ145#2,LDE,ORY,10:45,12:10,1:25
2518,7/1/06,F100#3,NTE,TLS,10:45,11:45,1:00
2981,7/1/06,A320#9,ORY,TLS,10:50,12:00,1:10
4516,7/1/06,A319#18,LYS,CDG,10:55,12:05,1:10
2533,7/1/06,F100#1,NTE,BES,10:55,11:35,0:40
2630,7/1/06,A318#3,NTE,MRS,11:00,12:20,1:20
3075,7/1/06,A318#5,ORY,NCE,11:00,12:20,1:20
1378,7/1/06,A320#3,BIA,ORY,11:00,12:35,1:35
5125,7/1/06,CRJ700#1,TLS,AMS,11:00,13:10,2:10
34,7/1/06,TranspCom#2,CDG,ORY,11:00,11:30,0:30
106,7/1/06,TranspCom#4,ORY,CDG,11:00,11:30,0:30
4229,7/1/06,A318#1,ORY,BES,11:15,12:25,1:10
4838,7/1/06,F100#2,NCE,SXB,11:15,12:35,1:20
4270,7/1/06,A320#11,LYS,ORY,11:20,12:25,1:05
4273,7/1/06,A321#2,ORY,LYS,11:20,12:25,1:05
107,7/1/06,TranspCom#1,ORY,CDG,11:20,11:50,0:30
35,7/1/06,TranspCom#3,CDG,ORY,11:20,11:50,0:30
5165,7/1/06,CRJ100#4,BOD,AMS,11:25,13:15,1:50
4699,7/1/06,ERJ145#5,LYS,NCE,11:25,12:25,1:00
3111,7/1/06,A319#5,ORY,NCE,11:30,12:50,1:20
2888,7/1/06,A320#17,MRS,ORY,11:30,12:50,1:20
4527,7/1/06,A319#17,CDG,MRS,11:35,13:00,1:25
2883,7/1/06,A319#8,ORY,MRS,11:35,12:50,1:15
4567,7/1/06,A321#4,CDG,NCE,11:35,13:10,1:35
2522,7/1/06,CRJ100#3,MPL,RNS,11:35,12:55,1:20
3076,7/1/06,CRJ700#3,NCE,ORY,11:35,13:00,1:25
4431,7/1/06,A319#4,ORY,AJA,11:40,13:20,1:40
4625,7/1/06,A320#19,CDG,SXB,11:40,12:50,1:10
2984,7/1/06,A320#8,TLS,ORY,11:40,13:00,1:20
108,7/1/06,TranspCom#2,ORY,CDG,11:40,12:10,0:30
36,7/1/06,TranspCom#4,CDG,ORY,11:40,12:10,0:30
4587,7/1/06,A320#6,CDG,NTE,11:45,12:50,1:05
2662,7/1/06,BAE200#2,BES,NCE,11:45,13:35,1:50
2983,7/1/06,A320#7,ORY,TLS,11:50,13:00,1:10
4648,7/1/06,A319#10,TLS,CDG,11:55,13:25,1:30
4657,7/1/06,A321#1,CDG,TLS,11:55,13:20,1:25
3077,7/1/06,A318#4,ORY,NCE,12:00,13:20,1:20
4387,7/1/06,A319#7,ORY,PGF,12:00,13:20,1:20
4566,7/1/06,A320#24,NCE,CDG,12:00,13:35,1:35
147,7/1/06,A320#4,CDG,MLH,12:00,13:10,1:10
37,7/1/06,TranspCom#1,CDG,ORY,12:00,12:30,0:30
109,7/1/06,TranspCom#3,ORY,CDG,12:00,12:30,0:30
3088,7/1/06,A318#8,NCE,ORY,12:05,13:30,1:25
4317,7/1/06,A319#2,ORY,PUF,12:05,13:20,1:15
