demand_node_index,truck_node_index,distance,scaled_demand
demand4,truck11,112.74016372788016,19
demand4,truck10,149.31968435713762,15
demand4,truck22,155.7037847015837,14
demand4,truck21,221.82443616179185,8
demand4,truck16,257.0396329231545,4
demand4,truck18,231.84620090046423,7
demand4,truck26,484.06432058764966,0
demand4,truck38,548.8687756867465,0
demand4,truck28,479.3639095360349,0
demand4,truck41,628.1323174684462,0
demand4,truck39,670.2111115714993,0
demand4,truck44,359.78128989368776,0
demand4,truck53,368.6819845410621,0
demand4,truck37,545.0499595396136,0
demand4,truck40,628.9617782253582,0
demand4,truck51,683.1482246221977,0
demand5,truck11,179.41775150186882,6
demand5,truck10,183.28222264049484,6
demand5,truck22,146.10596342685028,8
demand5,truck21,212.22661488705845,4
demand5,truck16,247.4418116484211,3
demand5,truck18,222.24837962573082,4
demand5,truck26,474.46649931291626,0
demand5,truck38,539.2709544120131,0
demand5,truck28,469.7660882613015,0
demand5,truck41,618.5344961937128,0
demand5,truck39,660.6132902967659,0
demand5,truck44,350.18346861895435,0
demand5,truck53,359.0841632663287,0
demand5,truck37,535.4521382648802,0
demand5,truck40,619.3639569506248,0
demand5,truck51,673.5504033474643,0
demand7,truck11,275.4920595365581,1
demand7,truck10,238.87642475007152,3
demand7,truck22,201.70016553642697,5
demand7,truck21,133.63153459361138,8
demand7,truck16,303.03601375799775,0
demand7,truck18,276.7714429969445,1
demand7,truck26,530.0607014224929,0
demand7,truck38,594.8651565215897,0
demand7,truck28,524.2891516325151,0
demand7,truck41,672.7536644462392,0
demand7,truck39,716.2074924063425,0
demand7,truck44,404.706531990168,0
demand7,truck53,414.67836537590534,0
demand7,truck37,589.975201636094,0
demand7,truck40,674.9581590602014,0
demand7,truck51,729.1446054570409,0
demand8,truck11,61.20811640195792,30
demand8,truck10,97.78763703121538,30
demand8,truck22,135.16276751161848,25
demand8,truck21,201.28341897182665,15
demand8,truck16,236.4986157331893,10
demand8,truck18,211.30518371049902,13
demand8,truck26,463.5233033976844,0
demand8,truck38,528.3277584967813,0
demand8,truck28,458.8228923460697,0
demand8,truck41,607.5913002784811,0
demand8,truck39,649.670094381534,0
demand8,truck44,339.24027270372255,0
demand8,truck53,329.34018520953447,0
demand8,truck37,524.5089423496485,0
demand8,truck40,608.420761035393,0
demand8,truck51,662.6072074322325,0
demand53,truck11,154.85264930404415,15
demand53,truck10,116.94381421526356,18
demand53,truck22,154.31894469566666,15
demand53,truck21,220.43959615587482,8
demand53,truck16,240.49506835941418,6
demand53,truck18,230.46136089454723,7
demand53,truck26,364.5245691154052,0
demand53,truck38,429.32902421450206,0
demand53,truck28,417.47510318372275,0
demand53,truck41,566.2435111161341,0
demand53,truck39,550.6713600992547,0
demand53,truck44,348.5141915216873,0
demand53,truck53,213.38250615654695,9
demand53,truck37,483.16115318730147,0
demand53,truck40,509.4220267531138,0
demand53,truck51,563.6084731499533,0
demand11,truck11,244.56945063237086,6
demand11,truck10,206.6606155435903,9
demand11,truck22,169.48435632994574,13
demand11,truck21,235.6050077901539,6
demand11,truck16,63.718556287182246,20
demand11,truck18,120.46627021482777,18
demand11,truck26,290.7432439516774,1
demand11,truck38,355.54769905077427,0
demand11,truck28,292.1926958546955,1
demand11,truck41,440.9611037871069,0
demand11,truck39,476.89003493552684,0
demand11,truck44,172.61007621234842,13
demand11,truck53,149.68702770771952,15
demand11,truck37,357.8787458582742,0
demand11,truck40,435.6407015893861,0
demand11,truck51,489.8271479862256,0
demand22,truck11,270.9951562007317,1
demand22,truck10,233.0863211119511,3
demand22,truck22,195.91006189830654,5
demand22,truck21,260.9595746201516,2
demand22,truck16,172.0854078058788,6
demand22,truck18,118.24685467784947,9
demand22,truck26,355.8592810465886,0
demand22,truck38,420.66373614568545,0
demand22,truck28,258.77849198039775,2
demand22,truck41,407.5468999128091,0
demand22,truck39,542.0060720304381,0
demand22,truck44,139.19587233805066,8
demand22,truck53,266.68580307742764,2
demand22,truck37,324.46454198397646,0
demand22,truck40,500.7567386842972,0
demand22,truck51,545.0863510553503,0
demand51,truck11,192.2006547013847,16
demand51,truck10,154.29181961260412,22
demand51,truck22,117.11556039895956,27
demand51,truck21,183.23621185916772,18
demand51,truck16,119.73440370193367,27
demand51,truck18,65.89585057390434,30
demand51,truck26,346.7590913664289,0
demand51,truck38,411.56354646552575,0
demand51,truck28,313.41355920947495,0
demand51,truck41,462.18196714188633,0
demand51,truck39,532.9058823502784,0
demand51,truck44,193.83093956712787,16
demand51,truck53,231.37675531984135,10
demand51,truck37,379.09960921305367,0
demand51,truck40,491.6565490041375,0
demand51,truck51,545.842995400977,0
demand31,truck11,512.6413710794312,0
demand31,truck10,474.73253599065066,0
demand31,truck22,437.5562767770061,0
demand31,truck21,503.67692823721427,0
demand31,truck16,331.79047673424265,0
demand31,truck18,388.53819066188817,0
demand31,truck26,107.83163710063205,10
demand31,truck38,94.44940976787078,10
demand31,truck28,202.75553152876122,5
demand31,truck41,273.690805091247,1
demand31,truck39,215.79174565262335,4
demand31,truck44,324.7817298181864,0
demand31,truck53,252.19480075781868,2
demand31,truck37,190.6329196460627,5
demand31,truck40,174.54241230648253,6
demand31,truck51,228.7288587033221,4
demand32,truck11,567.5404154904259,0
demand32,truck10,529.6315804016452,0
demand32,truck22,492.45532118800077,0
demand32,truck21,557.504833909846,0
demand32,truck16,392.83938409987024,0
demand32,truck18,414.7921139675438,0
demand32,truck26,171.3917208996258,19
demand32,truck38,110.31869189263952,28
demand32,truck28,165.2741979251799,20
demand32,truck41,187.69362485443105,17
demand32,truck39,231.6610277773921,10
demand32,truck44,287.3003962146051,2
demand32,truck53,315.7548845568124,0
demand32,truck37,104.61126692559839,29
demand32,truck40,190.41169443125125,16
demand32,truck51,244.5981408280908,8
demand33,truck11,505.6084056344691,0
demand33,truck10,467.69957054568846,0
demand33,truck22,430.5233113320439,0
demand33,truck21,495.57282405388906,0
demand33,truck16,330.90737424391335,0
demand33,truck18,352.8601041115869,0
demand33,truck26,200.42297713541387,20
demand33,truck38,194.26989339463262,21
demand33,truck28,103.34218806922301,39
demand33,truck41,180.30353971909832,24
demand33,truck39,315.6122292793852,0
demand33,truck44,225.36838635864822,15
demand33,truck53,302.23660911771356,0
demand33,truck37,97.22118179026566,40
demand33,truck40,273.75425902153006,5
demand33,truck51,327.9407054183696,0
demand44,truck11,631.1263668387888,0
demand44,truck10,593.2175317500082,0
demand44,truck22,556.0412725363637,0
demand44,truck21,620.7868901395216,0
demand44,truck16,456.4253354482331,0
demand44,truck18,478.37806531590667,0
demand44,truck26,267.88321961833725,3
demand44,truck38,206.810190611351,9
demand44,truck28,228.86014927354273,7
demand44,truck41,90.4402770822343,20
demand44,truck39,177.55728209378142,12
demand44,truck44,350.88634756296796,0
demand44,truck53,412.24638327552384,0
demand44,truck37,168.19721827396123,13
demand44,truck40,125.47972960133725,17
demand44,truck51,179.6661759981768,12
demand46,truck11,561.2822073599166,0
demand46,truck10,523.3733722711361,0
demand46,truck22,486.1971130574915,0
demand46,truck21,552.3177645176997,0
demand46,truck16,380.43131301472806,0
demand46,truck18,437.1790269423736,0
demand46,truck26,156.47247338111754,7
demand46,truck38,95.39944437413124,10
demand46,truck28,251.39636780924673,2
demand46,truck41,202.8337834149714,5
demand46,truck39,155.76294312265114,7
demand46,truck44,373.42256609867195,0
demand46,truck53,300.8356370383041,0
demand46,truck37,191.58295425232313,5
demand46,truck40,103.68539063020697,10
demand46,truck51,157.87183702704652,7
demand43,truck11,649.6994699304283,0
demand43,truck10,611.7906348416477,0
demand43,truck22,574.6143756280032,0
demand43,truck21,640.7350270882114,0
demand43,truck16,468.8485755852397,0
demand43,truck18,525.5962895128852,0
demand43,truck26,244.88973595162918,1
demand43,truck38,183.8167069446429,3
demand43,truck28,339.81363037975837,0
demand43,truck41,201.6346387193936,2
demand43,truck39,154.5637984270733,4
demand43,truck44,461.8398286691836,0
demand43,truck53,389.25289960881577,0
demand43,truck37,279.39157991112046,1
demand43,truck40,102.48624593462915,5
demand43,truck51,94.66206474881427,5
demand41,truck11,616.2323707453315,0
demand41,truck10,578.3235356565509,0
demand41,truck22,541.1472764429064,0
demand41,truck21,605.8928940460643,0
demand41,truck16,441.5313393547758,0
demand41,truck18,463.48406922244936,0
demand41,truck26,291.51111141676415,1
demand41,truck38,230.4380824097779,7
demand41,truck28,213.96615318008543,9
demand41,truck41,75.54628098877699,20
demand41,truck39,201.18517389220833,10
demand41,truck44,335.99235146951065,0
demand41,truck53,412.86057422857596,0
demand41,truck37,153.30322218050392,15
demand41,truck40,149.10762139976416,15
demand41,truck51,203.2940677966037,10