index,name,x,y,demand
demand4,Barrier Fencing,347.5837937384899,78.56093489148581,20
demand5,Poisson Distribution Fish Market,428.96623695518724,48.751252086811355,10
demand7,The Euclidean Space,393.5555555555556,98.43405676126879,10
demand8,The Analytic Center,344.78821362799266,115.20200333889817,30
demand53,Gu Library,278.62615101289134,105.57595993322204,20
demand11,Reinforcement Learning Puppy Training,284.83855125844076,188.79465776293824,20
demand22,Vertex Tower,342.92449355432785,231.3355592654424,10
demand51,Farkas' Lemma-nade,391.38121546961327,186,30
demand31,Edgeworth's Newsvendors,72.68508287292818,359.889816360601,10
demand32,Convex Amphitheater,190.41006752608965,367.652754590985,30
demand33,Interior Point Decorating,267.1332105586249,362.0634390651085,40
demand44,Bias & Variance Courthouse,193.82688766114182,446.52420701168614,20
demand46,Lagrange Boulangerie,104.98956414978515,419.1986644407346,10
demand43,Bag of Words Designer Handbags,87.90546347452425,481.9232053422371,5
demand41,K-Fold Parking Validation,233.89686924493554,480.68113522537567,20