index,x,y
truck11,323.9766728054021,109.61268781302171
truck10,336.71209330877844,130.1068447412354
truck22,356.2811540822591,145.63272120200335
truck21,438.59545733578886,147.80634390651085
truck16,298.50583179864947,205.56260434056762
truck18,364.6678944137508,222.64106844741238
truck26,121.14180478821363,337.2220367278798
truck38,112.44444444444444,397.7729549248748
truck28,224.88888888888889,335.97996661101837
truck41,217.4340085942296,477.8864774624374
truck39,49.699201964395336,497.7595993322204
truck44,315.5899324739104,295.92320534223705
truck53,209.35788827501537,280.0868113522538
truck37,209.35788827501537,398.3939899833055
truck40,118.65684468999386,479.4390651085142
truck51,111.8232044198895,536.8848080133556