ID_Base,Type,Street,Latitude,Longitude,X_Bases,Y_Bases,Z_Bases
1,Fire Station,1468 NIMMO PKWY,36.76415399,-76.02299987,1234.10032,-4958.35519,3817.28814
2,Fire Station,21 MUNICIPAL CTR,36.75397993,-76.05999682,1231.08213,-4959.76594,3816.42993
3,Fire Station,2837 SHORE DR,36.91098519,-76.06980156,1227.75643,-4949.80505,3830.40704
4,Fire Station,5656 PROVIDENCE RD,36.81392594,-76.19207718,1218.70816,-4958.71642,3821.76123
5,Fire Station,800 VIRGINIA BEACH BLVD,36.84399861,-75.98499757,1236.14065,-4952.36603,3824.39579
6,Fire Station,949 S BIRDNECK RD,36.81098716,-75.992934,1235.98553,-4954.66183,3821.47132
7,Fire Station,6009 BLACKWATER RD,36.58489976,-76.08286509,1231.78363,-4971.19052,3801.31002
8,Fire Station,3608 S PLAZA TRAIL,36.82998956,-76.09600787,1226.73111,-4955.62142,3823.20854
9,Fire Station,305 SANDBRIDGE RD,36.74608323,-75.94595089,1241.1114,-4957.83633,3815.68873
10,Fire Station,1601 LYNNHAVEN PKWY,36.79505331,-76.10389917,1226.60564,-4958.07723,3820.06366
11,Fire Station,4196 PLEASANT VALLEY RD,36.78598548,-76.14900504,1222.86733,-4959.59706,3819.28925
12,Fire Station,4672 HAYGOOD RD,36.87399364,-76.13898861,1222.35767,-4953.66887,3827.13752
13,Fire Station,885 LITTLE NECK RD,36.8638829,-76.0859781,1227.10171,-4953.22485,3826.19399
14,Fire Station,600 CENTRAL DR,36.81693922,-76.05806564,1230.25141,-4955.67486,3822.00799
15,Fire Station,4500 SHORE DR,36.90686175,-76.18192719,1218.06966,-4952.49891,3830.01763
16,Fire Station,2641 PRINCESS ANNE RD,36.75693887,-76.06499784,1230.65287,-4959.66554,3816.69883
17,Fire Station,595 PRINCESS ANNE RD,36.60301171,-76.02697638,1236.3853,-4968.77418,3802.97488
18,Fire Station,4817 COLUMBUS ST,36.84104543,-76.14196162,1222.58292,-4955.92862,3824.13895
19,Fire Station,1201 BAYNE DR,36.86499306,-76.03395942,1231.59683,-4952.0126,3826.31885
20,Fire Station,5145 RURITAN CT,36.82693061,-76.15908972,1221.31914,-4957.15034,3822.95915
21,Police Station,840 KEMPSVILLE RD,36.81503609,-76.16416472,1221.13292,-4958.05157,3821.84981
24,Police Station,926 INDEPENDENCE BLVD,36.86990946,-76.13197023,1223.01336,-4953.80947,3826.74605
25,Rescue Squad,3769 E. STRATFORD ROAD,36.90797191,-76.10294761,1224.90838,-4950.75634,3830.08946
27,Rescue Squad,2211 GREENWELL ROAD,36.90416566,-76.1278468,1222.82201,-4951.48016,3829.82047
31,Rescue Squad,5145 RURITAN COURT,36.82011109,-76.14592646,1221.31914,-4957.15034,3822.95915
35,Rescue Squad,333 THALIA ROAD,36.84405871,-76.12102727,1224.34108,-4955.23756,3824.47195