Player,Pos,Team,Opp,Salary
James Harden,PG,HOU,@ OKC,11100
LeBron James,SF,CLE,@ GSW,11000
Russell Westbrook,PG,OKC,vs HOU,10900
Kevin Durant,SF,GSW,vs CLE,10500
Joel Embiid,C,PHI,@ NYK,9500
Ben Simmons,PG,PHI,@ NYK,9300
Karl-Anthony Towns,C,MIN,@ LAL,8900
Kristaps Porzingis,PF,NYK,vs PHI,8600
Jimmy Butler,SG,MIN,@ LAL,8400
Kyrie Irving,PG,BOS,vs WAS,8300
John Wall,PG,WAS,@ BOS,8000
Kevin Love,PF,CLE,@ GSW,7500
Kyle Kuzma,SF,LAL,vs MIN,7300
Draymond Green,PF,GSW,vs CLE,7200
Bradley Beal,SG,WAS,@ BOS,7000
Paul George,SF,OKC,vs HOU,6800
Al Horford,PF,BOS,vs WAS,6700
Clint Capela,C,HOU,@ OKC,6600
Klay Thompson,SG,GSW,vs CLE,6400
Dario Saric,PF,PHI,@ NYK,6200
Robert Covington,SF,PHI,@ NYK,6100
Enes Kanter,PF,NYK,vs PHI,6100
Jeff Teague,PG,MIN,@ LAL,6000
Taj Gibson,PF,MIN,@ LAL,5800
Andrew Wiggins,SG,MIN,@ LAL,5700
Carmelo Anthony,SF,OKC,vs HOU,5600
Eric Gordon,SG,HOU,@ OKC,5600
Steven Adams,C,OKC,vs HOU,5500
Jayson Tatum,SF,BOS,vs WAS,5400
Otto Porter,SF,WAS,@ BOS,5300
Jaylen Brown,SG,BOS,vs WAS,5200
Kentavious Caldwell-Pope,SG,LAL,vs MIN,5100
Michael Beasley,SF,NYK,vs PHI,5000
Dwyane Wade,PG,CLE,@ GSW,5000
J.J. Redick,SG,PHI,@ NYK,5000
Julius Randle,PF,LAL,vs MIN,5000
Trevor Ariza,SG,HOU,@ OKC,5000
Marcin Gortat,C,WAS,@ BOS,4900
Jordan Bell,PF,GSW,vs CLE,4900
Marcus Smart,SG,BOS,vs WAS,4800
Courtney Lee,SG,NYK,vs PHI,4800
P.J. Tucker,SF,HOU,@ OKC,4700
Jordan Clarkson,PG,LAL,vs MIN,4700
Jarrett Jack,PG,NYK,vs PHI,4600
Marcus Morris,SF,BOS,vs WAS,4600
Ryan Anderson,PF,HOU,@ OKC,4600
Kelly Oubre Jr.,SG,WAS,@ BOS,4500
Mike Scott,PF,WAS,@ BOS,4500
Larry Nance Jr.,SF,LAL,vs MIN,4500
Markieff Morris,SF,WAS,@ BOS,4400
Omri Casspi,SF,GSW,vs CLE,4300
Trevor Booker,PF,PHI,@ NYK,4200
Terry Rozier,PG,BOS,vs WAS,4100
Jeff Green,SF,CLE,@ GSW,4100
J.R. Smith,SG,CLE,@ GSW,4000
T.J. McConnell,PG,PHI,@ NYK,4000
Kyle O'Quinn,PF,NYK,vs PHI,3900
Frank Ntilikina,PG,NYK,vs PHI,3900
Andre Iguodala,SG,GSW,vs CLE,3900
Jamal Crawford,SG,MIN,@ LAL,3900
Jerryd Bayless,PG,PHI,@ NYK,3800
Nene,C,HOU,@ OKC,3800
Jose Calderon,PG,CLE,@ GSW,3800
Tomas Satoransky,PG,WAS,@ BOS,3700
Doug McDermott,SF,NYK,vs PHI,3700
Jerami Grant,SF,OKC,vs HOU,3700
Patrick McCaw,PG,GSW,vs CLE,3700
Josh Hart,PG,LAL,vs MIN,3700
Aron Baynes,C,BOS,vs WAS,3700
Amir Johnson,PF,PHI,@ NYK,3700
Shaun Livingston,PG,GSW,vs CLE,3600
Kyle Korver,SG,CLE,@ GSW,3600
David West,PF,GSW,vs CLE,3500
Tristan Thompson,PF,CLE,@ GSW,3500
Corey Brewer,SG,LAL,vs MIN,3500
Jae Crowder,SF,CLE,@ GSW,3500
Ian Mahinmi,C,WAS,@ BOS,3400
Andre Roberson,SG,OKC,vs HOU,3400
Gorgui Dieng,PF,MIN,@ LAL,3400
Tyus Jones,PG,MIN,@ LAL,3400
Daniel Theis,PF,BOS,vs WAS,3400
Kevon Looney,SF,GSW,vs CLE,3400
Alex Abrines,SG,OKC,vs HOU,3300
Lance Thomas,SF,NYK,vs PHI,3300
Ron Baker,PG,NYK,vs PHI,3300
Nick Young,SG,GSW,vs CLE,3300
Nemanja Bjelica,SF,MIN,@ LAL,3300
Patrick Patterson,PF,OKC,vs HOU,3200
Raymond Felton,PG,OKC,vs HOU,3100
Jodie Meeks,SG,WAS,@ BOS,3100
Tyler Ennis,PG,LAL,vs MIN,3000
Andrew Bogut,C,LAL,vs MIN,3000
Alex Caruso,PG,LAL,vs MIN,3000
Briante Weber,PG,HOU,@ OKC,3000
Cedi Osman,SG,CLE,@ GSW,3000
Josh Huestis,SF,OKC,vs HOU,3000