Day,Month,Year,gglCountry,Type,DisasterID,gglAddress,TotAffected
0,1,2008,Madagascar,Epidemic,2008-0345-MDG,"Ambatondrazaka, Madagascar",75
0,1,2008,Madagascar,Epidemic,2008-0345-MDG,"Antananarivo, Madagascar",217
0,1,2008,Madagascar,Epidemic,2008-0345-MDG,"Antsirabe, Madagascar",125
0,1,2008,Madagascar,Epidemic,2008-0345-MDG,"Miarinarivo, Madagascar",54
0,1,2008,Madagascar,Epidemic,2008-0345-MDG,"Taolagnaro, Madagascar",49
0,2,1998,Madagascar,Flood,1998-0086-MDG,"Antananarivo, Madagascar",7798
0,2,1998,Madagascar,Flood,1998-0086-MDG,"Fianarantsoa, Madagascar",3119
0,2,1998,Madagascar,Flood,1998-0086-MDG,"Mahajanga, Madagascar",2007
0,2,1998,Madagascar,Flood,1998-0086-MDG,"Toamasina, Madagascar",3199
0,2,1998,Madagascar,Flood,1998-0086-MDG,"Toliara, Madagascar",3877
0,10,2009,Madagascar,Epidemic,2009-0634-MDG,"Manakara, Madagascar",471
0,10,2009,Madagascar,Epidemic,2009-0634-MDG,"Mananjary, Madagascar",231
0,12,1999,Madagascar,Epidemic,1999-0710-MDG,"Antananarivo, Madagascar",1527
0,12,1999,Madagascar,Epidemic,1999-0710-MDG,"Antsiranana, Madagascar",376
0,12,1999,Madagascar,Epidemic,1999-0710-MDG,"Mahajanga, Madagascar",393
0,12,1999,Madagascar,Epidemic,1999-0710-MDG,"Toliara, Madagascar",759
1,1,2020,Madagascar,Flood,2020-0016-MDG,"Ambatondrazaka, Madagascar",13385
1,1,2020,Madagascar,Flood,2020-0016-MDG,"Antananarivo, Madagascar",38573
1,1,2020,Madagascar,Flood,2020-0016-MDG,"Antsiranana, Madagascar",9485
1,1,2020,Madagascar,Flood,2020-0016-MDG,"Antsohihy, Madagascar",15994
1,1,2020,Madagascar,Flood,2020-0016-MDG,"Maevatanana, Madagascar",4206
1,1,2020,Madagascar,Flood,2020-0016-MDG,"Mahajanga, Madagascar",9927
1,1,2020,Madagascar,Flood,2020-0016-MDG,"Maintirano, Madagascar",3303
1,1,2020,Madagascar,Flood,2020-0016-MDG,"Sambava, Madagascar",11972
2,1,2002,Madagascar,Storm,2002-0004-MDG,"Morondava, Madagascar",533
2,1,2002,Madagascar,Storm,2002-0004-MDG,"Toliara, Madagascar",1367
2,3,2005,Madagascar,Flood,2005-0097-MDG,"Antsiranana, Madagascar",8958
2,3,2005,Madagascar,Flood,2005-0097-MDG,"Antsohihy, Madagascar",15104
2,3,2005,Madagascar,Flood,2005-0097-MDG,"Farafangana, Madagascar",10336
2,3,2005,Madagascar,Flood,2005-0097-MDG,"Mahajanga, Madagascar",9375
2,3,2005,Madagascar,Flood,2005-0097-MDG,"Toamasina, Madagascar",14945
2,4,2000,Madagascar,Storm,2000-0178-MDG,"Antsohihy, Madagascar",146730
2,4,2000,Madagascar,Storm,2000-0178-MDG,"Fenoarivo Atsinanana, Madagascar",112705
2,4,2000,Madagascar,Storm,2000-0178-MDG,"Sambava, Madagascar",109837
3,1,2007,Madagascar,Storm,2007-0032-MDG,"Mananjary, Madagascar",7313
4,2,2006,Madagascar,Storm,2006-0089-MDG,"Toliara, Madagascar",6212
4,7,2002,Madagascar,Epidemic,2002-0477-MDG,"Antananarivo, Madagascar",7420
4,7,2002,Madagascar,Epidemic,2002-0477-MDG,"Fianarantsoa, Madagascar",2968
4,7,2002,Madagascar,Epidemic,2002-0477-MDG,"Mahajanga, Madagascar",1910
4,7,2002,Madagascar,Epidemic,2002-0477-MDG,"Manakara, Madagascar",2945
4,7,2002,Madagascar,Epidemic,2002-0477-MDG,"Toamasina, Madagascar",3044
4,7,2002,Madagascar,Epidemic,2002-0477-MDG,"Toliara, Madagascar",3689
4,10,2018,Madagascar,Epidemic,2018-0433-MDG,"Antananarivo, Madagascar",98415
5,1,2018,Madagascar,Storm,2018-0008-MDG,"Antananarivo, Madagascar",38589
5,1,2018,Madagascar,Storm,2018-0008-MDG,"Antsohihy, Madagascar",16000
5,1,2018,Madagascar,Storm,2018-0008-MDG,"Farafangana, Madagascar",10950
5,1,2018,Madagascar,Storm,2018-0008-MDG,"Fenoarivo Atsinanana, Madagascar",12290
5,1,2018,Madagascar,Storm,2018-0008-MDG,"Fianarantsoa, Madagascar",15436
5,1,2018,Madagascar,Storm,2018-0008-MDG,"Mahajanga, Madagascar",9931
5,1,2018,Madagascar,Storm,2018-0008-MDG,"Manakara, Madagascar",15314
5,1,2018,Madagascar,Storm,2018-0008-MDG,"Mananjary, Madagascar",7526
5,1,2018,Madagascar,Storm,2018-0008-MDG,"Morondava, Madagascar",7472
5,1,2018,Madagascar,Storm,2018-0008-MDG,"Sambava, Madagascar",11977
5,1,2018,Madagascar,Storm,2018-0008-MDG,"Toamasina, Madagascar",15832
5,3,2008,Madagascar,Storm,2008-0111-MDG,"Antsiranana, Madagascar",400
5,10,2013,Madagascar,Epidemic,2013-0559-MDG,"Ambatondrazaka, Madagascar",45
5,10,2013,Madagascar,Epidemic,2013-0559-MDG,"Antananarivo, Madagascar",131
5,10,2013,Madagascar,Epidemic,2013-0559-MDG,"Antsirabe, Madagascar",75
5,10,2013,Madagascar,Epidemic,2013-0559-MDG,"Antsiranana, Madagascar",32
5,10,2013,Madagascar,Epidemic,2013-0559-MDG,"Antsohihy, Madagascar",54
5,10,2013,Madagascar,Epidemic,2013-0559-MDG,"Fenoarivo Atsinanana, Madagascar",72
5,10,2013,Madagascar,Epidemic,2013-0559-MDG,"Fianarantsoa, Madagascar",52
5,10,2013,Madagascar,Epidemic,2013-0559-MDG,"Maevatanana, Madagascar",14
5,10,2013,Madagascar,Epidemic,2013-0559-MDG,"Mahajanga, Madagascar",34
5,10,2013,Madagascar,Epidemic,2013-0559-MDG,"Manakara, Madagascar",52
5,10,2013,Madagascar,Epidemic,2013-0559-MDG,"Miarinarivo, Madagascar",33
5,10,2013,Madagascar,Epidemic,2013-0559-MDG,"Sambava, Madagascar",41
5,10,2013,Madagascar,Epidemic,2013-0559-MDG,"Tsiroanomandidy, Madagascar",24
6,4,2009,Madagascar,Storm,2009-0137-MDG,"Ambatondrazaka, Madagascar",9078
6,4,2009,Madagascar,Storm,2009-0137-MDG,"Antsohihy, Madagascar",10848
6,4,2009,Madagascar,Storm,2009-0137-MDG,"Farafangana, Madagascar",7424
6,4,2009,Madagascar,Storm,2009-0137-MDG,"Fenoarivo Atsinanana, Madagascar",8332
6,4,2009,Madagascar,Storm,2009-0137-MDG,"Manakara, Madagascar",10382
6,4,2009,Madagascar,Storm,2009-0137-MDG,"Sambava, Madagascar",8120
6,4,2009,Madagascar,Storm,2009-0137-MDG,"Toamasina, Madagascar",10733
7,2,2015,Madagascar,Storm,2015-0074-MDG,"Ambovombe-Androy, Madagascar",1808
7,2,2015,Madagascar,Storm,2015-0074-MDG,"Morondava, Madagascar",1402
7,2,2015,Madagascar,Storm,2015-0074-MDG,"Taolagnaro, Madagascar",1620
7,2,2015,Madagascar,Storm,2015-0074-MDG,"Toliara, Madagascar",3600
7,3,2004,Madagascar,Storm,2004-0103-MDG,"Antsiranana, Madagascar",91767
7,3,2004,Madagascar,Storm,2004-0103-MDG,"Antsohihy, Madagascar",154733
7,3,2004,Madagascar,Storm,2004-0103-MDG,"Fenoarivo Atsinanana, Madagascar",118853
7,3,2004,Madagascar,Storm,2004-0103-MDG,"Mahajanga, Madagascar",96041
7,3,2004,Madagascar,Storm,2004-0103-MDG,"Morondava, Madagascar",72258
7,3,2004,Madagascar,Storm,2004-0103-MDG,"Sambava, Madagascar",115828
7,3,2004,Madagascar,Storm,2004-0103-MDG,"Toamasina, Madagascar",153101
7,3,2004,Madagascar,Storm,2004-0103-MDG,"Toliara, Madagascar",185558
7,3,2017,Madagascar,Storm,2017-0075-MDG,"Ambatondrazaka, Madagascar",31844
7,3,2017,Madagascar,Storm,2017-0075-MDG,"Antananarivo, Madagascar",91767
7,3,2017,Madagascar,Storm,2017-0075-MDG,"Antsirabe, Madagascar",52612
7,3,2017,Madagascar,Storm,2017-0075-MDG,"Fenoarivo Atsinanana, Madagascar",50378
7,3,2017,Madagascar,Storm,2017-0075-MDG,"Fianarantsoa, Madagascar",36708
7,3,2017,Madagascar,Storm,2017-0075-MDG,"Ihosy, Madagascar",10615
7,3,2017,Madagascar,Storm,2017-0075-MDG,"Manakara, Madagascar",36418
7,3,2017,Madagascar,Storm,2017-0075-MDG,"Mananjary, Madagascar",17898
7,3,2017,Madagascar,Storm,2017-0075-MDG,"Miarinarivo, Madagascar",22775
7,3,2017,Madagascar,Storm,2017-0075-MDG,"Sambava, Madagascar",28483
7,3,2017,Madagascar,Storm,2017-0075-MDG,"Toamasina, Madagascar",37649
7,3,2017,Madagascar,Storm,2017-0075-MDG,"Tsiroanomandidy, Madagascar",17107
8,2,2007,Madagascar,Flood,2007-0069-MDG,"Antananarivo, Madagascar",33000
8,5,2003,Madagascar,Storm,2003-0218-MDG,"Toamasina, Madagascar",162086
9,4,1984,Madagascar,Storm,1984-0034-MDG,"Antsiranana, Madagascar",48967
9,4,1984,Madagascar,Storm,1984-0034-MDG,"Mahajanga, Madagascar",51248
9,5,2002,Madagascar,Storm,2002-0281-MDG,"Antsiranana, Madagascar",100695
9,5,2002,Madagascar,Storm,2002-0281-MDG,"Fenoarivo Atsinanana, Madagascar",130415
9,5,2002,Madagascar,Storm,2002-0281-MDG,"Sambava, Madagascar",127095
9,5,2002,Madagascar,Storm,2002-0281-MDG,"Toamasina, Madagascar",167995
9,12,2003,Madagascar,Storm,2003-0602-MDG,"Antsiranana, Madagascar",72
9,12,2003,Madagascar,Storm,2003-0602-MDG,"Sambava, Madagascar",92
9,12,2019,Madagascar,Storm,2019-0601-MDG,"Antsiranana, Madagascar",6377
9,12,2019,Madagascar,Storm,2019-0601-MDG,"Mahajanga, Madagascar",6674
9,12,2019,Madagascar,Storm,2019-0601-MDG,"Maintirano, Madagascar",2220
9,12,2019,Madagascar,Storm,2019-0601-MDG,"Morondava, Madagascar",5021
10,1,1996,Madagascar,Storm,1996-0060-MDG,"Fenoarivo Atsinanana, Madagascar",43703
10,1,1996,Madagascar,Storm,1996-0060-MDG,"Toamasina, Madagascar",56297
10,3,2010,Madagascar,Storm,2010-0104-MDG,"Ambatondrazaka, Madagascar",54529
10,3,2010,Madagascar,Storm,2010-0104-MDG,"Farafangana, Madagascar",44590
10,3,2010,Madagascar,Storm,2010-0104-MDG,"Manakara, Madagascar",62363
10,3,2010,Madagascar,Storm,2010-0104-MDG,"Mananjary, Madagascar",30649
10,12,1983,Madagascar,Storm,1983-0157-MDG,"Ambatondrazaka, Madagascar",645
10,12,1983,Madagascar,Storm,1983-0157-MDG,"Ambovombe-Androy, Madagascar",464
10,12,1983,Madagascar,Storm,1983-0157-MDG,"Antananarivo, Madagascar",1859
10,12,1983,Madagascar,Storm,1983-0157-MDG,"Antsirabe, Madagascar",1066
10,12,1983,Madagascar,Storm,1983-0157-MDG,"Antsiranana, Madagascar",457
10,12,1983,Madagascar,Storm,1983-0157-MDG,"Antsohihy, Madagascar",771
10,12,1983,Madagascar,Storm,1983-0157-MDG,"Farafangana, Madagascar",528
10,12,1983,Madagascar,Storm,1983-0157-MDG,"Fenoarivo Atsinanana, Madagascar",1021
10,12,1983,Madagascar,Storm,1983-0157-MDG,"Fianarantsoa, Madagascar",744
10,12,1983,Madagascar,Storm,1983-0157-MDG,"Ihosy, Madagascar",215
10,12,1983,Madagascar,Storm,1983-0157-MDG,"Maevatanana, Madagascar",203
10,12,1983,Madagascar,Storm,1983-0157-MDG,"Mahajanga, Madagascar",479
10,12,1983,Madagascar,Storm,1983-0157-MDG,"Maintirano, Madagascar",159
10,12,1983,Madagascar,Storm,1983-0157-MDG,"Manakara, Madagascar",738
10,12,1983,Madagascar,Storm,1983-0157-MDG,"Mananjary, Madagascar",363
10,12,1983,Madagascar,Storm,1983-0157-MDG,"Miarinarivo, Madagascar",461
10,12,1983,Madagascar,Storm,1983-0157-MDG,"Morondava, Madagascar",360
10,12,1983,Madagascar,Storm,1983-0157-MDG,"Sambava, Madagascar",577
10,12,1983,Madagascar,Storm,1983-0157-MDG,"Taolagnaro, Madagascar",416
10,12,1983,Madagascar,Storm,1983-0157-MDG,"Toamasina, Madagascar",763
10,12,1983,Madagascar,Storm,1983-0157-MDG,"Toliara, Madagascar",925
10,12,1983,Madagascar,Storm,1983-0157-MDG,"Tsiroanomandidy, Madagascar",347
13,1,1994,Madagascar,Storm,1994-0009-MDG,"Ambatondrazaka, Madagascar",79907
13,1,1994,Madagascar,Storm,1994-0009-MDG,"Ambovombe-Androy, Madagascar",57495
13,1,1994,Madagascar,Storm,1994-0009-MDG,"Fenoarivo Atsinanana, Madagascar",106149
13,1,1994,Madagascar,Storm,1994-0009-MDG,"Morondava, Madagascar",44588
13,1,1994,Madagascar,Storm,1994-0009-MDG,"Toamasina, Madagascar",94474
13,1,1994,Madagascar,Storm,1994-0009-MDG,"Toliara, Madagascar",114503
13,1,1994,Madagascar,Storm,1994-0009-MDG,"Tsiroanomandidy, Madagascar",42927
13,3,2020,Madagascar,Storm,2020-0103-MDG,"Fenoarivo Atsinanana, Madagascar",1621
13,3,2020,Madagascar,Storm,2020-0103-MDG,"Sambava, Madagascar",1579
14,2,2011,Madagascar,Storm,2011-0057-MDG,"Ambovombe-Androy, Madagascar",6457
14,2,2011,Madagascar,Storm,2011-0057-MDG,"Antananarivo, Madagascar",25861
14,2,2011,Madagascar,Storm,2011-0057-MDG,"Antsohihy, Madagascar",10723
14,2,2011,Madagascar,Storm,2011-0057-MDG,"Farafangana, Madagascar",7338
14,2,2011,Madagascar,Storm,2011-0057-MDG,"Fenoarivo Atsinanana, Madagascar",8237
14,2,2011,Madagascar,Storm,2011-0057-MDG,"Ihosy, Madagascar",2991
14,2,2011,Madagascar,Storm,2011-0057-MDG,"Mahajanga, Madagascar",6656
14,2,2011,Madagascar,Storm,2011-0057-MDG,"Maintirano, Madagascar",2214
14,2,2011,Madagascar,Storm,2011-0057-MDG,"Manakara, Madagascar",10263
14,2,2011,Madagascar,Storm,2011-0057-MDG,"Mananjary, Madagascar",5044
