depotCity,depotCountry,gglCountryAscii,depotGglAddressAscii,depotGglLat,depotGglLong,emdatCity,emdatCountry,gglCountryAscii,disasterGglAddressAscii,disasterGglLat,disasterGglLong,drivingTime_hrs,distance_km
Ambatondrazaka,Madagascar,Madagascar,"Ambatondrazaka, Madagascar",-17.8237,48.4263,Alaotra-Mangoro,Madagascar,Madagascar,"Ambatondrazaka, Madagascar",-17.8237,48.4263,0,0
Ambatondrazaka,Madagascar,Madagascar,"Ambatondrazaka, Madagascar",-17.8237,48.4263,Amoron'i Mania,Madagascar,Madagascar,"Ambositra, Madagascar",-20.5167,47.25,11,518
Ambatondrazaka,Madagascar,Madagascar,"Ambatondrazaka, Madagascar",-17.8237,48.4263,Analamanga,Madagascar,Madagascar,"Antananarivo, Madagascar",-18.9085,47.5375,6,269
Ambatondrazaka,Madagascar,Madagascar,"Ambatondrazaka, Madagascar",-17.8237,48.4263,Analanjirofo,Madagascar,Madagascar,"Fenoarivo Atsinanana, Madagascar",-17.3843,49.4098,11,496
Ambatondrazaka,Madagascar,Madagascar,"Ambatondrazaka, Madagascar",-17.8237,48.4263,Anosy,Madagascar,Madagascar,"Taolagnaro, Madagascar",-25.0316,46.99,29,1156
Ambatondrazaka,Madagascar,Madagascar,"Ambatondrazaka, Madagascar",-17.8237,48.4263,Atsimo-Andrefana,Madagascar,Madagascar,"Toliara, Madagascar",-23.35,43.6667,22,1187
Ambatondrazaka,Madagascar,Madagascar,"Ambatondrazaka, Madagascar",-17.8237,48.4263,Atsimo-Atsinanana,Madagascar,Madagascar,"Farafangana, Madagascar",-22.8167,47.8167,18,841
Ambatondrazaka,Madagascar,Madagascar,"Ambatondrazaka, Madagascar",-17.8237,48.4263,Atsinanana,Madagascar,Madagascar,"Toamasina, Madagascar",-18.1499,49.4023,8,398
Ambatondrazaka,Madagascar,Madagascar,"Ambatondrazaka, Madagascar",-17.8237,48.4263,Betsiboka,Madagascar,Madagascar,"Maevatanana, Madagascar",-16.9504,46.8281,11,588
Ambatondrazaka,Madagascar,Madagascar,"Ambatondrazaka, Madagascar",-17.8237,48.4263,Boeny,Madagascar,Madagascar,"Mahajanga, Madagascar",-15.7167,46.3167,16,843
Ambatondrazaka,Madagascar,Madagascar,"Ambatondrazaka, Madagascar",-17.8237,48.4263,Bongolava,Madagascar,Madagascar,"Tsiroanomandidy, Madagascar",-18.7698,46.05,9,479
Ambatondrazaka,Madagascar,Madagascar,"Ambatondrazaka, Madagascar",-17.8237,48.4263,Diana,Madagascar,Madagascar,"Antsiranana, Madagascar",-12.2667,49.2833,21,889
Ambatondrazaka,Madagascar,Madagascar,"Ambatondrazaka, Madagascar",-17.8237,48.4263,Haute Matsiatra,Madagascar,Madagascar,"Fianarantsoa, Madagascar",-21.447,47.0872,14,669
Ambatondrazaka,Madagascar,Madagascar,"Ambatondrazaka, Madagascar",-17.8237,48.4263,Ihorombe,Madagascar,Madagascar,"Ihosy, Madagascar",-22.3961,46.1217,17,863
Ambatondrazaka,Madagascar,Madagascar,"Ambatondrazaka, Madagascar",-17.8237,48.4263,Itasy,Madagascar,Madagascar,"Miarinarivo, Madagascar",-18.9608,46.9036,8,359
Ambatondrazaka,Madagascar,Madagascar,"Ambatondrazaka, Madagascar",-17.8237,48.4263,Melaky,Madagascar,Madagascar,"Maintirano, Madagascar",-18.0646,44.0295,14.32,771
Ambatondrazaka,Madagascar,Madagascar,"Ambatondrazaka, Madagascar",-17.8237,48.4263,Menabe,Madagascar,Madagascar,"Morondava, Madagascar",-20.2847,44.3175,17,956
Ambatondrazaka,Madagascar,Madagascar,"Ambatondrazaka, Madagascar",-17.8237,48.4263,Sava,Madagascar,Madagascar,"Sambava, Madagascar",-14.2667,50.1667,23,1055
Ambatondrazaka,Madagascar,Madagascar,"Ambatondrazaka, Madagascar",-17.8237,48.4263,Sofia,Madagascar,Madagascar,"Antsohihy, Madagascar",-14.8762,47.9835,10,483
Ambatondrazaka,Madagascar,Madagascar,"Ambatondrazaka, Madagascar",-17.8237,48.4263,Vakinankaratra,Madagascar,Madagascar,"Antsirabe, Madagascar",-19.8667,47.0333,9,427
Ambatondrazaka,Madagascar,Madagascar,"Ambatondrazaka, Madagascar",-17.8237,48.4263,Vatovavy,Madagascar,Madagascar,"Mananjary, Madagascar",-21.2367,48.3461,14,609
Ambatondrazaka,Madagascar,Madagascar,"Ambatondrazaka, Madagascar",-17.8237,48.4263,Vatovavy-Fitovinany,Madagascar,Madagascar,"Manakara, Madagascar",-22.15,48,16,740
Ambositra,Madagascar,Madagascar,"Ambositra, Madagascar",-20.5167,47.25,Alaotra-Mangoro,Madagascar,Madagascar,"Ambatondrazaka, Madagascar",-17.8237,48.4263,11,517
Ambositra,Madagascar,Madagascar,"Ambositra, Madagascar",-20.5167,47.25,Amoron'i Mania,Madagascar,Madagascar,"Ambositra, Madagascar",-20.5167,47.25,0,0
Ambositra,Madagascar,Madagascar,"Ambositra, Madagascar",-20.5167,47.25,Analamanga,Madagascar,Madagascar,"Antananarivo, Madagascar",-18.9085,47.5375,5,255
Ambositra,Madagascar,Madagascar,"Ambositra, Madagascar",-20.5167,47.25,Analanjirofo,Madagascar,Madagascar,"Fenoarivo Atsinanana, Madagascar",-17.3843,49.4098,15,695
Ambositra,Madagascar,Madagascar,"Ambositra, Madagascar",-20.5167,47.25,Anosy,Madagascar,Madagascar,"Taolagnaro, Madagascar",-25.0316,46.99,19,735
Ambositra,Madagascar,Madagascar,"Ambositra, Madagascar",-20.5167,47.25,Atsimo-Andrefana,Madagascar,Madagascar,"Toliara, Madagascar",-23.35,43.6667,11,670
Ambositra,Madagascar,Madagascar,"Ambositra, Madagascar",-20.5167,47.25,Atsimo-Atsinanana,Madagascar,Madagascar,"Farafangana, Madagascar",-22.8167,47.8167,8,420
Ambositra,Madagascar,Madagascar,"Ambositra, Madagascar",-20.5167,47.25,Atsinanana,Madagascar,Madagascar,"Toamasina, Madagascar",-18.1499,49.4023,12,598
Ambositra,Madagascar,Madagascar,"Ambositra, Madagascar",-20.5167,47.25,Betsiboka,Madagascar,Madagascar,"Maevatanana, Madagascar",-16.9504,46.8281,11,572
Ambositra,Madagascar,Madagascar,"Ambositra, Madagascar",-20.5167,47.25,Boeny,Madagascar,Madagascar,"Mahajanga, Madagascar",-15.7167,46.3167,15,827
Ambositra,Madagascar,Madagascar,"Ambositra, Madagascar",-20.5167,47.25,Bongolava,Madagascar,Madagascar,"Tsiroanomandidy, Madagascar",-18.7698,46.05,6,350
Ambositra,Madagascar,Madagascar,"Ambositra, Madagascar",-20.5167,47.25,Diana,Madagascar,Madagascar,"Antsiranana, Madagascar",-12.2667,49.2833,30,1375
Ambositra,Madagascar,Madagascar,"Ambositra, Madagascar",-20.5167,47.25,Haute Matsiatra,Madagascar,Madagascar,"Fianarantsoa, Madagascar",-21.447,47.0872,3,152
Ambositra,Madagascar,Madagascar,"Ambositra, Madagascar",-20.5167,47.25,Ihorombe,Madagascar,Madagascar,"Ihosy, Madagascar",-22.3961,46.1217,6,345
Ambositra,Madagascar,Madagascar,"Ambositra, Madagascar",-20.5167,47.25,Itasy,Madagascar,Madagascar,"Miarinarivo, Madagascar",-18.9608,46.9036,5,275
Ambositra,Madagascar,Madagascar,"Ambositra, Madagascar",-20.5167,47.25,Melaky,Madagascar,Madagascar,"Maintirano, Madagascar",-18.0646,44.0295,11.27,642
Ambositra,Madagascar,Madagascar,"Ambositra, Madagascar",-20.5167,47.25,Menabe,Madagascar,Madagascar,"Morondava, Madagascar",-20.2847,44.3175,6,439
Ambositra,Madagascar,Madagascar,"Ambositra, Madagascar",-20.5167,47.25,Sava,Madagascar,Madagascar,"Sambava, Madagascar",-14.2667,50.1667,31,1541
Ambositra,Madagascar,Madagascar,"Ambositra, Madagascar",-20.5167,47.25,Sofia,Madagascar,Madagascar,"Antsohihy, Madagascar",-14.8762,47.9835,18,951
Ambositra,Madagascar,Madagascar,"Ambositra, Madagascar",-20.5167,47.25,Vakinankaratra,Madagascar,Madagascar,"Antsirabe, Madagascar",-19.8667,47.0333,2,90
Ambositra,Madagascar,Madagascar,"Ambositra, Madagascar",-20.5167,47.25,Vatovavy,Madagascar,Madagascar,"Mananjary, Madagascar",-21.2367,48.3461,5,274
Ambositra,Madagascar,Madagascar,"Ambositra, Madagascar",-20.5167,47.25,Vatovavy-Fitovinany,Madagascar,Madagascar,"Manakara, Madagascar",-22.15,48,6,319
Antananarivo Renivohitra,Madagascar,Madagascar,"Antananarivo Renivohitra, Madagascar",-18.9085,47.5375,Alaotra-Mangoro,Madagascar,Madagascar,"Ambatondrazaka, Madagascar",-17.8237,48.4263,6,269
Antananarivo Renivohitra,Madagascar,Madagascar,"Antananarivo Renivohitra, Madagascar",-18.9085,47.5375,Amoron'i Mania,Madagascar,Madagascar,"Ambositra, Madagascar",-20.5167,47.25,5,255
Antananarivo Renivohitra,Madagascar,Madagascar,"Antananarivo Renivohitra, Madagascar",-18.9085,47.5375,Analamanga,Madagascar,Madagascar,"Antananarivo, Madagascar",-18.9085,47.5375,0,0
Antananarivo Renivohitra,Madagascar,Madagascar,"Antananarivo Renivohitra, Madagascar",-18.9085,47.5375,Analanjirofo,Madagascar,Madagascar,"Fenoarivo Atsinanana, Madagascar",-17.3843,49.4098,10,447
Antananarivo Renivohitra,Madagascar,Madagascar,"Antananarivo Renivohitra, Madagascar",-18.9085,47.5375,Anosy,Madagascar,Madagascar,"Taolagnaro, Madagascar",-25.0316,46.99,24,991
Antananarivo Renivohitra,Madagascar,Madagascar,"Antananarivo Renivohitra, Madagascar",-18.9085,47.5375,Atsimo-Andrefana,Madagascar,Madagascar,"Toliara, Madagascar",-23.35,43.6667,16,925
Antananarivo Renivohitra,Madagascar,Madagascar,"Antananarivo Renivohitra, Madagascar",-18.9085,47.5375,Atsimo-Atsinanana,Madagascar,Madagascar,"Farafangana, Madagascar",-22.8167,47.8167,13,676
Antananarivo Renivohitra,Madagascar,Madagascar,"Antananarivo Renivohitra, Madagascar",-18.9085,47.5375,Atsinanana,Madagascar,Madagascar,"Toamasina, Madagascar",-18.1499,49.4023,7,349
Antananarivo Renivohitra,Madagascar,Madagascar,"Antananarivo Renivohitra, Madagascar",-18.9085,47.5375,Betsiboka,Madagascar,Madagascar,"Maevatanana, Madagascar",-16.9504,46.8281,5,319
Antananarivo Renivohitra,Madagascar,Madagascar,"Antananarivo Renivohitra, Madagascar",-18.9085,47.5375,Boeny,Madagascar,Madagascar,"Mahajanga, Madagascar",-15.7167,46.3167,10,574
Antananarivo Renivohitra,Madagascar,Madagascar,"Antananarivo Renivohitra, Madagascar",-18.9085,47.5375,Bongolava,Madagascar,Madagascar,"Tsiroanomandidy, Madagascar",-18.7698,46.05,3,211
Antananarivo Renivohitra,Madagascar,Madagascar,"Antananarivo Renivohitra, Madagascar",-18.9085,47.5375,Diana,Madagascar,Madagascar,"Antsiranana, Madagascar",-12.2667,49.2833,25,1121
Antananarivo Renivohitra,Madagascar,Madagascar,"Antananarivo Renivohitra, Madagascar",-18.9085,47.5375,Haute Matsiatra,Madagascar,Madagascar,"Fianarantsoa, Madagascar",-21.447,47.0872,8,407
Antananarivo Renivohitra,Madagascar,Madagascar,"Antananarivo Renivohitra, Madagascar",-18.9085,47.5375,Ihorombe,Madagascar,Madagascar,"Ihosy, Madagascar",-22.3961,46.1217,12,601
Antananarivo Renivohitra,Madagascar,Madagascar,"Antananarivo Renivohitra, Madagascar",-18.9085,47.5375,Itasy,Madagascar,Madagascar,"Miarinarivo, Madagascar",-18.9608,46.9036,2,90
Antananarivo Renivohitra,Madagascar,Madagascar,"Antananarivo Renivohitra, Madagascar",-18.9085,47.5375,Melaky,Madagascar,Madagascar,"Maintirano, Madagascar",-18.0646,44.0295,8.33,502
Antananarivo Renivohitra,Madagascar,Madagascar,"Antananarivo Renivohitra, Madagascar",-18.9085,47.5375,Menabe,Madagascar,Madagascar,"Morondava, Madagascar",-20.2847,44.3175,12,694
Antananarivo Renivohitra,Madagascar,Madagascar,"Antananarivo Renivohitra, Madagascar",-18.9085,47.5375,Sava,Madagascar,Madagascar,"Sambava, Madagascar",-14.2667,50.1667,26,1288
Antananarivo Renivohitra,Madagascar,Madagascar,"Antananarivo Renivohitra, Madagascar",-18.9085,47.5375,Sofia,Madagascar,Madagascar,"Antsohihy, Madagascar",-14.8762,47.9835,13,697
Antananarivo Renivohitra,Madagascar,Madagascar,"Antananarivo Renivohitra, Madagascar",-18.9085,47.5375,Vakinankaratra,Madagascar,Madagascar,"Antsirabe, Madagascar",-19.8667,47.0333,3,165
Antananarivo Renivohitra,Madagascar,Madagascar,"Antananarivo Renivohitra, Madagascar",-18.9085,47.5375,Vatovavy,Madagascar,Madagascar,"Mananjary, Madagascar",-21.2367,48.3461,11,529
Antananarivo Renivohitra,Madagascar,Madagascar,"Antananarivo Renivohitra, Madagascar",-18.9085,47.5375,Vatovavy-Fitovinany,Madagascar,Madagascar,"Manakara, Madagascar",-22.15,48,11,574
Fenerive Est,Madagascar,Madagascar,"Fenerive Est, Madagascar",-17.3843,49.4098,Alaotra-Mangoro,Madagascar,Madagascar,"Ambatondrazaka, Madagascar",-17.8237,48.4263,11,496
Fenerive Est,Madagascar,Madagascar,"Fenerive Est, Madagascar",-17.3843,49.4098,Amoron'i Mania,Madagascar,Madagascar,"Ambositra, Madagascar",-20.5167,47.25,15,695
Fenerive Est,Madagascar,Madagascar,"Fenerive Est, Madagascar",-17.3843,49.4098,Analamanga,Madagascar,Madagascar,"Antananarivo, Madagascar",-18.9085,47.5375,10,447
Fenerive Est,Madagascar,Madagascar,"Fenerive Est, Madagascar",-17.3843,49.4098,Analanjirofo,Madagascar,Madagascar,"Fenoarivo Atsinanana, Madagascar",-17.3843,49.4098,0,0
Fenerive Est,Madagascar,Madagascar,"Fenerive Est, Madagascar",-17.3843,49.4098,Anosy,Madagascar,Madagascar,"Taolagnaro, Madagascar",-25.0316,46.99,29,1120
Fenerive Est,Madagascar,Madagascar,"Fenerive Est, Madagascar",-17.3843,49.4098,Atsimo-Andrefana,Madagascar,Madagascar,"Toliara, Madagascar",-23.35,43.6667,25,1257
Fenerive Est,Madagascar,Madagascar,"Fenerive Est, Madagascar",-17.3843,49.4098,Atsimo-Atsinanana,Madagascar,Madagascar,"Farafangana, Madagascar",-22.8167,47.8167,18,805
Fenerive Est,Madagascar,Madagascar,"Fenerive Est, Madagascar",-17.3843,49.4098,Atsinanana,Madagascar,Madagascar,"Toamasina, Madagascar",-18.1499,49.4023,2,102
Fenerive Est,Madagascar,Madagascar,"Fenerive Est, Madagascar",-17.3843,49.4098,Betsiboka,Madagascar,Madagascar,"Maevatanana, Madagascar",-16.9504,46.8281,16,766
Fenerive Est,Madagascar,Madagascar,"Fenerive Est, Madagascar",-17.3843,49.4098,Boeny,Madagascar,Madagascar,"Mahajanga, Madagascar",-15.7167,46.3167,20,1021
Fenerive Est,Madagascar,Madagascar,"Fenerive Est, Madagascar",-17.3843,49.4098,Bongolava,Madagascar,Madagascar,"Tsiroanomandidy, Madagascar",-18.7698,46.05,14,657
Fenerive Est,Madagascar,Madagascar,"Fenerive Est, Madagascar",-17.3843,49.4098,Diana,Madagascar,Madagascar,"Antsiranana, Madagascar",-12.2667,49.2833,32,1392
Fenerive Est,Madagascar,Madagascar,"Fenerive Est, Madagascar",-17.3843,49.4098,Haute Matsiatra,Madagascar,Madagascar,"Fianarantsoa, Madagascar",-21.447,47.0872,17,739
Fenerive Est,Madagascar,Madagascar,"Fenerive Est, Madagascar",-17.3843,49.4098,Ihorombe,Madagascar,Madagascar,"Ihosy, Madagascar",-22.3961,46.1217,20,932
Fenerive Est,Madagascar,Madagascar,"Fenerive Est, Madagascar",-17.3843,49.4098,Itasy,Madagascar,Madagascar,"Miarinarivo, Madagascar",-18.9608,46.9036,12,536
Fenerive Est,Madagascar,Madagascar,"Fenerive Est, Madagascar",-17.3843,49.4098,Melaky,Madagascar,Madagascar,"Maintirano, Madagascar",-18.0646,44.0295,18.57,949
Fenerive Est,Madagascar,Madagascar,"Fenerive Est, Madagascar",-17.3843,49.4098,Menabe,Madagascar,Madagascar,"Morondava, Madagascar",-20.2847,44.3175,22,1134
Fenerive Est,Madagascar,Madagascar,"Fenerive Est, Madagascar",-17.3843,49.4098,Sava,Madagascar,Madagascar,"Sambava, Madagascar",-14.2667,50.1667,34,1558
Fenerive Est,Madagascar,Madagascar,"Fenerive Est, Madagascar",-17.3843,49.4098,Sofia,Madagascar,Madagascar,"Antsohihy, Madagascar",-14.8762,47.9835,21,986
Fenerive Est,Madagascar,Madagascar,"Fenerive Est, Madagascar",-17.3843,49.4098,Vakinankaratra,Madagascar,Madagascar,"Antsirabe, Madagascar",-19.8667,47.0333,13,605
Fenerive Est,Madagascar,Madagascar,"Fenerive Est, Madagascar",-17.3843,49.4098,Vatovavy,Madagascar,Madagascar,"Mananjary, Madagascar",-21.2367,48.3461,14,573
Fenerive Est,Madagascar,Madagascar,"Fenerive Est, Madagascar",-17.3843,49.4098,Vatovavy-Fitovinany,Madagascar,Madagascar,"Manakara, Madagascar",-22.15,48,16,704
Sainte-Marie,Madagascar,Madagascar,"Sainte-Marie, Madagascar",-16.9167,49.9,Alaotra-Mangoro,Madagascar,Madagascar,"Ambatondrazaka, Madagascar",-17.8237,48.4263,13.75,583
Sainte-Marie,Madagascar,Madagascar,"Sainte-Marie, Madagascar",-16.9167,49.9,Amoron'i Mania,Madagascar,Madagascar,"Ambositra, Madagascar",-20.5167,47.25,17.75,783
Sainte-Marie,Madagascar,Madagascar,"Sainte-Marie, Madagascar",-16.9167,49.9,Analamanga,Madagascar,Madagascar,"Antananarivo, Madagascar",-18.9085,47.5375,12.75,534
Sainte-Marie,Madagascar,Madagascar,"Sainte-Marie, Madagascar",-16.9167,49.9,Analanjirofo,Madagascar,Madagascar,"Fenoarivo Atsinanana, Madagascar",-17.3843,49.4098,2.75,88
Sainte-Marie,Madagascar,Madagascar,"Sainte-Marie, Madagascar",-16.9167,49.9,Anosy,Madagascar,Madagascar,"Taolagnaro, Madagascar",-25.0316,46.99,31.75,1208
Sainte-Marie,Madagascar,Madagascar,"Sainte-Marie, Madagascar",-16.9167,49.9,Atsimo-Andrefana,Madagascar,Madagascar,"Toliara, Madagascar",-23.35,43.6667,27.75,1344
Sainte-Marie,Madagascar,Madagascar,"Sainte-Marie, Madagascar",-16.9167,49.9,Atsimo-Atsinanana,Madagascar,Madagascar,"Farafangana, Madagascar",-22.8167,47.8167,20.75,893
Sainte-Marie,Madagascar,Madagascar,"Sainte-Marie, Madagascar",-16.9167,49.9,Atsinanana,Madagascar,Madagascar,"Toamasina, Madagascar",-18.1499,49.4023,4.75,190
Sainte-Marie,Madagascar,Madagascar,"Sainte-Marie, Madagascar",-16.9167,49.9,Betsiboka,Madagascar,Madagascar,"Maevatanana, Madagascar",-16.9504,46.8281,18.75,854
Sainte-Marie,Madagascar,Madagascar,"Sainte-Marie, Madagascar",-16.9167,49.9,Boeny,Madagascar,Madagascar,"Mahajanga, Madagascar",-15.7167,46.3167,23.75,1109
Sainte-Marie,Madagascar,Madagascar,"Sainte-Marie, Madagascar",-16.9167,49.9,Bongolava,Madagascar,Madagascar,"Tsiroanomandidy, Madagascar",-18.7698,46.05,16.75,745
Sainte-Marie,Madagascar,Madagascar,"Sainte-Marie, Madagascar",-16.9167,49.9,Diana,Madagascar,Madagascar,"Antsiranana, Madagascar",-12.2667,49.2833,35.75,1479
Sainte-Marie,Madagascar,Madagascar,"Sainte-Marie, Madagascar",-16.9167,49.9,Haute Matsiatra,Madagascar,Madagascar,"Fianarantsoa, Madagascar",-21.447,47.0872,20.75,826
Sainte-Marie,Madagascar,Madagascar,"Sainte-Marie, Madagascar",-16.9167,49.9,Ihorombe,Madagascar,Madagascar,"Ihosy, Madagascar",-22.3961,46.1217,23.75,1020
Sainte-Marie,Madagascar,Madagascar,"Sainte-Marie, Madagascar",-16.9167,49.9,Itasy,Madagascar,Madagascar,"Miarinarivo, Madagascar",-18.9608,46.9036,14.75,624
Sainte-Marie,Madagascar,Madagascar,"Sainte-Marie, Madagascar",-16.9167,49.9,Melaky,Madagascar,Madagascar,"Maintirano, Madagascar",-18.0646,44.0295,21.35,1037
Sainte-Marie,Madagascar,Madagascar,"Sainte-Marie, Madagascar",-16.9167,49.9,Menabe,Madagascar,Madagascar,"Morondava, Madagascar",-20.2847,44.3175,24.75,1222
Sainte-Marie,Madagascar,Madagascar,"Sainte-Marie, Madagascar",-16.9167,49.9,Sava,Madagascar,Madagascar,"Sambava, Madagascar",-14.2667,50.1667,36.75,1645
Sainte-Marie,Madagascar,Madagascar,"Sainte-Marie, Madagascar",-16.9167,49.9,Sofia,Madagascar,Madagascar,"Antsohihy, Madagascar",-14.8762,47.9835,23.75,1073
Sainte-Marie,Madagascar,Madagascar,"Sainte-Marie, Madagascar",-16.9167,49.9,Vakinankaratra,Madagascar,Madagascar,"Antsirabe, Madagascar",-19.8667,47.0333,15.75,692
Sainte-Marie,Madagascar,Madagascar,"Sainte-Marie, Madagascar",-16.9167,49.9,Vatovavy,Madagascar,Madagascar,"Mananjary, Madagascar",-21.2367,48.3461,16.75,661
Sainte-Marie,Madagascar,Madagascar,"Sainte-Marie, Madagascar",-16.9167,49.9,Vatovavy-Fitovinany,Madagascar,Madagascar,"Manakara, Madagascar",-22.15,48,18.75,792
Maroantsetra,Madagascar,Madagascar,"Maroantsetra, Madagascar",-15.4309,49.7583,Alaotra-Mangoro,Madagascar,Madagascar,"Ambatondrazaka, Madagascar",-17.8237,48.4263,23,790
Maroantsetra,Madagascar,Madagascar,"Maroantsetra, Madagascar",-15.4309,49.7583,Amoron'i Mania,Madagascar,Madagascar,"Ambositra, Madagascar",-20.5167,47.25,28,989
Maroantsetra,Madagascar,Madagascar,"Maroantsetra, Madagascar",-15.4309,49.7583,Analamanga,Madagascar,Madagascar,"Antananarivo, Madagascar",-18.9085,47.5375,23,741
Maroantsetra,Madagascar,Madagascar,"Maroantsetra, Madagascar",-15.4309,49.7583,Analanjirofo,Madagascar,Madagascar,"Fenoarivo Atsinanana, Madagascar",-17.3843,49.4098,12,294
Maroantsetra,Madagascar,Madagascar,"Maroantsetra, Madagascar",-15.4309,49.7583,Anosy,Madagascar,Madagascar,"Taolagnaro, Madagascar",-25.0316,46.99,42,1414
Maroantsetra,Madagascar,Madagascar,"Maroantsetra, Madagascar",-15.4309,49.7583,Atsimo-Andrefana,Madagascar,Madagascar,"Toliara, Madagascar",-23.35,43.6667,38,1551
Maroantsetra,Madagascar,Madagascar,"Maroantsetra, Madagascar",-15.4309,49.7583,Atsimo-Atsinanana,Madagascar,Madagascar,"Farafangana, Madagascar",-22.8167,47.8167,31,1099
Maroantsetra,Madagascar,Madagascar,"Maroantsetra, Madagascar",-15.4309,49.7583,Atsinanana,Madagascar,Madagascar,"Toamasina, Madagascar",-18.1499,49.4023,15,396
